letter	frequency
Aug14	1818787
Sep14	5000730
Oct14	7613737
Nov14	4017698
Dec14	12128064
Jan15	22267007
Feb15	19112733
Mar15	11665193
April15	18199345
May15	18044106
Jun15	17749576
Jul15	21677867
Aug15	18937878
